epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.94365,0.99717,2.58972,1.39319,0.00467,1,0.2408,0.12205,0.81932,3.02569,1.42979,0.000533333,0.000533333,0.000533333
2,4.58483,0.97869,2.64868,1.30934,0.00467,1,0.27267,0.1317,1.30279,3.11013,1.82626,0.00117624,0.00117624,0.00117624
3,6.57925,1.49858,2.18427,1.6905,0.0045,0.96429,0.14263,0.03443,1.90231,3.57776,3.01098,0.00179275,0.00179275,0.00179275
4,9.50677,1.49841,1.95727,1.6174,0.00367,0.78571,0.05745,0.02279,2.71615,3.87939,3.87525,0.0018812,0.0018812,0.0018812
5,12.0054,1.43737,2.14846,1.64749,0.64405,0.17857,0.23288,0.08933,2.34803,3.43585,4.41165,0.0018416,0.0018416,0.0018416
6,14.6678,1.29414,1.94225,1.5661,0.03074,0.5,0.02868,0.00915,2.42991,11.7685,4.17666,0.001802,0.001802,0.001802
7,17.1201,1.20644,1.86985,1.56289,0.02241,0.35714,0.01673,0.00525,2.2652,82.5053,8.64203,0.0017624,0.0017624,0.0017624
8,19.3792,1.30111,1.74508,1.57482,0.07406,0.5,0.05952,0.01882,2.01594,6.2859,4.86532,0.0017228,0.0017228,0.0017228
9,21.6371,1.26588,1.71693,1.58957,0.05936,0.53571,0.04608,0.01388,2.0339,11.8121,3.89927,0.0016832,0.0016832,0.0016832
10,23.801,1.15279,1.56829,1.45661,0.04842,0.32143,0.03351,0.00947,2.16981,10.202,4.25419,0.0016436,0.0016436,0.0016436
11,25.9234,1.07614,1.42741,1.36724,0.04608,0.32143,0.02996,0.00568,2.60499,5.28715,4.70573,0.001604,0.001604,0.001604
12,28.2961,1.1982,1.43641,1.45859,0.00607,0.35714,0.00597,0.00097,3.34868,6.7829,5.44092,0.0015644,0.0015644,0.0015644
13,30.9336,1.10368,1.45729,1.39155,0.05186,0.10714,0.01687,0.00515,3.50237,5.72654,4.12054,0.0015248,0.0015248,0.0015248
14,33.0846,1.12032,1.43834,1.45233,0.11269,0.17857,0.04655,0.01514,3.27481,5.84091,3.39511,0.0014852,0.0014852,0.0014852
15,35.6421,1.10007,1.33328,1.36914,0.08801,0.21429,0.04222,0.01726,3.08292,6.33632,3.34797,0.0014456,0.0014456,0.0014456
16,37.7948,1.05927,1.27358,1.37748,0.13266,0.28571,0.06075,0.02464,2.61873,6.77286,3.03828,0.001406,0.001406,0.001406
17,40.3725,1.06146,1.2848,1.3579,0.31909,0.25,0.26403,0.13551,2.10126,3.30207,2.88518,0.0013664,0.0013664,0.0013664
18,42.7951,1.00048,1.23115,1.34877,0.37529,0.5,0.42397,0.19917,2.11759,2.71765,3.07773,0.0013268,0.0013268,0.0013268
19,45.4268,1.05656,1.27141,1.3807,0.49058,0.35714,0.44006,0.21508,1.82581,2.40018,2.91384,0.0012872,0.0012872,0.0012872
20,47.9323,0.96471,1.16781,1.27919,0.52017,0.58098,0.57471,0.29593,1.61982,2.33957,2.28646,0.0012476,0.0012476,0.0012476
21,50.186,0.98399,1.19956,1.30391,0.61558,0.71429,0.6643,0.43401,1.34569,1.93169,1.90139,0.001208,0.001208,0.001208
22,52.4214,1.02816,1.17935,1.33088,0.70366,0.60714,0.6804,0.43824,1.35181,1.83313,1.91487,0.0011684,0.0011684,0.0011684
23,54.6181,1.08138,1.25182,1.42685,0.58829,0.61255,0.59702,0.32488,1.58303,2.01904,2.14482,0.0011288,0.0011288,0.0011288
24,56.7425,0.97959,1.19563,1.28403,0.60876,0.55604,0.56901,0.26777,1.75772,2.18001,2.2722,0.0010892,0.0010892,0.0010892
25,59.0874,0.95957,1.15644,1.29232,0.67416,0.60714,0.62236,0.30866,1.64395,1.96464,2.24503,0.0010496,0.0010496,0.0010496
26,61.3641,0.96754,1.14128,1.2998,0.52701,0.71429,0.58644,0.2986,1.58239,1.97784,2.17871,0.00101,0.00101,0.00101
27,63.4256,0.93434,1.13573,1.29304,0.54062,0.71429,0.60622,0.33849,1.42367,1.98804,1.98795,0.0009704,0.0009704,0.0009704
28,66.1975,0.96461,1.05754,1.28343,0.6543,0.67603,0.65291,0.40635,1.2943,1.89959,1.8251,0.0009308,0.0009308,0.0009308
29,68.6448,0.89657,1.04784,1.24364,0.49655,0.71429,0.63281,0.4084,1.20417,1.81196,1.80843,0.0008912,0.0008912,0.0008912
30,71.5855,0.93963,1.08594,1.3125,0.57066,0.61736,0.66276,0.41417,1.24329,1.88931,1.86164,0.0008516,0.0008516,0.0008516
31,73.6125,0.92744,1.11239,1.297,0.80594,0.53571,0.66917,0.40667,1.35969,1.94001,1.96905,0.000812,0.000812,0.000812
32,75.8594,0.85327,1.00771,1.18773,0.82311,0.53571,0.69313,0.39966,1.32996,1.9709,1.97106,0.0007724,0.0007724,0.0007724
33,78.0369,0.91377,1.02686,1.26658,0.8276,0.51482,0.68946,0.42348,1.33488,1.80025,1.96937,0.0007328,0.0007328,0.0007328
34,80.455,0.87361,1.03426,1.23902,0.74441,0.52055,0.67746,0.42419,1.34189,1.80277,1.9469,0.0006932,0.0006932,0.0006932
35,82.6656,0.88614,1.01148,1.18206,0.54315,0.80695,0.70433,0.45324,1.29716,1.69348,1.87932,0.0006536,0.0006536,0.0006536
36,85.0039,0.91116,0.96855,1.25788,0.57934,0.8364,0.73972,0.47905,1.2419,1.643,1.82954,0.000614,0.000614,0.000614
37,87.0668,0.80633,0.92335,1.17969,0.64726,0.85714,0.78565,0.50678,1.20159,1.64949,1.79597,0.0005744,0.0005744,0.0005744
38,89.1484,0.80978,0.87241,1.18032,0.64363,0.92857,0.78193,0.51528,1.20695,1.59931,1.82821,0.0005348,0.0005348,0.0005348
39,91.3784,0.80962,0.92712,1.19804,0.64607,0.91293,0.8001,0.52521,1.22182,1.58048,1.83454,0.0004952,0.0004952,0.0004952
40,93.7534,0.78993,0.93655,1.20425,0.64153,0.89286,0.79745,0.52471,1.22655,1.55715,1.79918,0.0004556,0.0004556,0.0004556
41,109.305,0.74652,1.17107,1.18128,0.58165,0.71429,0.69752,0.44568,1.34935,1.74755,1.86981,0.000416,0.000416,0.000416
42,111.742,0.76247,1.04532,1.18764,0.73226,0.5,0.62963,0.39915,1.39602,1.94945,1.93996,0.0003764,0.0003764,0.0003764
43,113.898,0.74882,1.02102,1.11688,0.75782,0.5,0.60973,0.39845,1.39075,1.98174,1.97299,0.0003368,0.0003368,0.0003368
44,116.302,0.72837,1.05094,1.14071,0.74892,0.53277,0.66034,0.42175,1.30726,1.8896,1.89406,0.0002972,0.0002972,0.0002972
45,118.5,0.72384,0.9821,1.15781,0.64695,0.75,0.73766,0.46987,1.30928,1.69609,1.86312,0.0002576,0.0002576,0.0002576
46,120.523,0.71083,0.9965,1.1375,0.65641,0.81883,0.751,0.4684,1.28928,1.62475,1.86905,0.000218,0.000218,0.000218
47,122.546,0.70364,0.96421,1.12213,0.65259,0.80532,0.75256,0.46702,1.27377,1.59118,1.87338,0.0001784,0.0001784,0.0001784
48,124.703,0.70017,0.95715,1.15132,0.68137,0.78571,0.75291,0.46442,1.26592,1.56609,1.86833,0.0001388,0.0001388,0.0001388
49,126.646,0.64261,0.96955,1.10107,0.67975,0.78571,0.73844,0.46416,1.25292,1.55854,1.86416,9.92e-05,9.92e-05,9.92e-05
50,128.526,0.67048,0.90984,1.1457,0.68705,0.78571,0.72946,0.46152,1.25025,1.56895,1.8632,5.96e-05,5.96e-05,5.96e-05
